,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
390,prince rupert,90,CA,1569884092,96,52.97,-108.38,36.0,6.93
391,baykit,91,RU,1569884092,95,61.68,96.39,23.92,2.53
392,praia da vitoria,0,BR,1569884074,53,-20.25,-43.81,77.0,13.87
393,pakruojis,71,LT,1569884093,93,55.98,23.85,51.8,10.29
394,guatire,75,VE,1569884093,70,10.47,-66.54,84.2,6.93
395,sibu,90,MY,1569883982,100,2.29,111.83,75.2,3.36
396,chifeng,0,CN,1569884093,60,42.27,118.96,63.15,9.08
397,namatanai,87,PG,1569883684,71,-3.66,152.44,81.7,7.09
398,inuvik,75,CA,1569883953,71,68.36,-133.71,51.8,2.24
399,atasu,0,KZ,1569884094,62,48.68,71.64,31.47,7.25
400,berezovyy,16,RU,1569884094,62,51.67,135.7,50.2,2.77
401,kotelnich,100,RU,1569884095,95,58.31,48.34,49.12,12.21
402,trairi,29,BR,1569884095,88,-3.28,-39.27,71.44,5.44
403,wajir,62,KE,1569884095,75,1.75,40.07,77.37,17.25
404,belyy yar,100,RU,1569884096,97,55.83,32.94,54.52,6.89
405,willowmore,92,ZA,1569884096,86,-33.3,23.49,44.8,2.46
406,mayo,90,CA,1569884025,75,63.59,-135.9,41.0,2.24
407,suchindram,85,IN,1569884096,76,8.16,77.47,80.97,0.56
408,salalah,20,OM,1569883876,78,17.01,54.1,80.6,4.7
409,lena,1,US,1569884097,65,42.38,-89.82,84.2,10.29
410,filadelfia,0,PY,1569884097,26,-22.35,-60.04,95.37,11.72
411,luau,97,CD,1569884097,67,-10.7,22.23,70.72,2.35
412,grindavik,20,IS,1569883696,87,63.84,-22.43,42.8,6.93
413,yabrud,0,SY,1569884098,72,33.97,36.66,62.6,6.93
414,lesosibirsk,95,RU,1569884098,95,58.22,92.49,29.14,3.11
415,amazar,100,RU,1569884098,98,53.86,120.88,38.67,3.42
416,carrick-on-suir,47,IE,1569884099,99,52.35,-7.41,60.01,5.01
417,santa cruz de tenerife,83,PH,1569884021,73,17.49,120.43,83.14,7.85
418,jizan,40,SA,1569884099,70,16.89,42.56,91.4,1.92
419,jiuquan,28,CN,1569884099,53,39.73,98.49,52.54,3.36
420,tual,57,ID,1569883605,86,-5.67,132.75,79.35,16.04
421,nipawin,90,CA,1569884100,65,53.36,-104.02,41.0,12.75
422,cobija,90,BR,1569884100,83,-11.02,-68.77,78.8,1.05
423,muli,1,CN,1569884100,49,28.08,109.56,70.0,2.21
424,tucuman,2,PE,1569884101,69,-17.17,-70.89,49.84,2.13
425,galle,18,GN,1569884101,99,10.08,-12.83,70.72,2.89
426,colombia,97,CO,1569884101,63,3.38,-74.8,76.84,5.91
427,rhyl,75,GB,1569884102,100,53.32,-3.49,59.0,8.05
428,gladstone,75,AU,1569884102,69,-23.84,151.26,77.0,11.41
429,wewak,99,PG,1569884102,92,-3.55,143.63,75.57,4.41
430,worland,90,US,1569884103,75,44.02,-107.96,48.99,13.87
431,hay river,0,AU,1569884103,52,-34.51,144.84,64.24,7.85
432,taranagar,100,IN,1569884103,65,28.67,75.04,81.15,7.87
433,grand gaube,0,FR,1569884104,81,48.39,5.49,57.2,8.05
434,mirabad,0,IR,1569884104,50,28.27,61.33,58.65,1.43
435,carutapera,100,BR,1569883987,77,-1.2,-46.02,79.17,8.48
436,herat,0,AF,1569884104,34,34.35,62.22,68.0,3.36
437,georgetown,20,GY,1569884105,79,6.8,-58.16,84.2,9.17
438,nuuk,75,GL,1569884105,61,64.17,-51.74,46.4,6.93
439,ukiah,90,US,1569883762,33,39.15,-123.21,66.0,8.05
440,noumea,20,NC,1569884025,61,-22.28,166.46,77.0,9.17
441,bintulu,90,MY,1569884106,100,3.17,113.03,73.4,3.36
442,paamiut,100,GL,1569884106,62,61.99,-49.67,43.54,6.6
443,bundaberg,90,AU,1569884106,68,-24.87,152.35,72.0,14.99
444,marathon,100,CA,1569884107,97,48.72,-86.38,46.24,10.02
445,rondonopolis,23,BR,1569884107,50,-16.46,-54.64,84.57,2.21
446,rapar,90,IN,1569884107,89,23.57,70.65,79.17,17.9
447,sume,40,RS,1569884108,77,43.62,20.22,64.4,1.12
448,dukat,0,AL,1569884108,89,40.25,19.57,70.0,1.01
449,morondava,27,MG,1569884108,59,-20.3,44.28,76.65,5.26
450,oyotun,0,PE,1569884109,29,-6.85,-79.3,66.2,21.92
451,ishigaki,100,JP,1569884109,81,24.34,124.16,82.24,29.86
452,mama,20,MX,1569884109,52,20.48,-89.36,89.6,13.87
453,chitral,0,PK,1569884110,59,35.85,71.79,33.82,7.96
454,pandan,100,PH,1569883707,75,11.72,122.09,83.32,6.4
455,leh,49,IN,1569884110,60,34.16,77.58,33.82,7.0
456,mildura,0,AU,1569884110,54,-34.18,142.16,62.01,8.05
457,pemex,98,MX,1569884111,84,18.44,-96.35,80.25,1.74
458,oistins,40,BB,1569884005,78,13.07,-59.53,82.4,9.17
459,lompoc,1,US,1569883858,30,34.64,-120.46,69.8,13.87
460,anloga,20,GH,1569884111,94,5.79,0.9,75.2,8.86
461,sao caetano de odivelas,100,IN,1569884112,89,20.51,76.21,70.35,5.41
462,shubarshi,0,KZ,1569884112,67,48.59,57.19,43.9,5.48
463,batagay-alyta,32,RU,1569884112,77,67.8,130.41,10.77,3.76
464,buzdyak,98,RU,1569884113,77,54.57,54.53,40.3,9.28
465,bataipora,0,BR,1569884113,23,-22.3,-53.27,77.92,8.28
466,havoysund,75,NO,1569884113,80,71.0,24.66,41.0,32.21
467,beloha,0,MG,1569884114,85,-25.17,45.06,68.74,3.78
468,damietta,40,EG,1569884114,69,31.42,31.81,77.0,2.24
469,paita,0,PE,1569884114,290,-5.09,-81.11,62.6,19.46
470,kutum,1,SD,1569883956,57,14.2,24.66,77.02,4.29
471,sikonge,20,TZ,1569884115,57,-5.63,32.75,75.2,5.82
472,ust-nera,48,RU,1569883796,78,64.57,143.24,17.25,3.38
473,katherine,67,AU,1569884115,47,-14.47,132.26,80.6,2.98
474,port blair,29,CD,1569884115,84,-7.04,29.76,65.67,2.8
475,lhokseumawe,90,ID,1569884116,90,5.18,97.15,71.07,2.86
476,miraflores,40,PE,1569884116,51,-16.39,-71.52,59.0,9.17
477,adrar,0,DZ,1569883742,9,27.87,-0.29,89.6,5.82
478,edgewater,75,US,1569884116,78,28.99,-80.9,84.2,11.41
479,okahandja,0,NA,1569884117,28,-21.98,16.91,57.2,5.82
480,dhidhdhoo,100,MV,1569884117,71,6.88,73.1,81.52,3.67
481,azad shahr,90,AZ,1569884117,93,40.7,46.51,59.0,6.93
482,kawambwa,100,ZM,1569884118,88,-9.8,29.07,63.52,2.68
483,gouloure,20,BF,1569884118,78,12.23,-1.93,75.2,11.41
484,vila do maio,0,IT,1569884022,100,45.18,8.4,66.0,2.24
485,neiafu,40,TO,1569884118,88,-18.65,-173.98,78.8,6.93
486,corvallis,1,US,1569884096,47,44.56,-123.26,61.0,3.36
487,aras,15,ES,1569884119,88,42.56,-2.36,64.99,1.12
488,coari,74,BR,1569884119,62,-4.09,-63.14,83.5,5.28
489,verkhnevilyuysk,94,RU,1569883681,80,63.45,120.31,29.32,5.44
490,ikom,100,NG,1569884120,97,5.96,8.72,73.05,1.39
491,nicoya,0,CR,1569884106,62,10.15,-85.45,87.8,11.41
492,kolobovo,100,RU,1569884120,93,56.71,41.34,53.07,12.66
493,pochutla,75,MX,1569884121,62,15.74,-96.47,88.0,0.47
494,mega,6,ET,1569884121,58,4.06,38.32,73.95,11.36
495,imbituba,40,BR,1569884122,83,-28.24,-48.67,69.8,13.87
496,porto nacional,75,PT,1569884122,100,41.15,-8.61,68.0,7.72
497,mayumba,99,GA,1569884008,79,-3.44,10.65,76.12,9.06
498,sao goncalo do amarante,100,IN,1569884112,89,20.51,76.21,70.35,5.41
499,yanam,97,IN,1569884122,88,16.73,82.22,76.12,4.29
500,abu jubayhah,75,JP,1569884123,88,34.51,131.49,75.2,3.36
501,sibiti,100,CG,1569884123,94,-3.69,13.35,70.0,2.95
502,carmen,20,PH,1569884123,94,7.36,125.71,75.2,2.24
503,healdsburg,1,US,1569884124,45,38.61,-122.87,69.01,16.11
504,gasa,100,BT,1569883546,93,27.91,89.73,32.55,2.1
505,zhigansk,64,RU,1569884125,79,66.77,123.37,25.72,12.55
506,saint-joseph,20,FR,1569883868,93,43.56,6.97,68.0,3.36
507,camocim,1,BR,1569884125,80,-2.9,-40.84,74.5,5.5
508,corinto,75,CO,1569884126,88,3.17,-76.26,73.4,4.7
509,meadow lake,75,GB,1569884126,93,54.18,-6.35,54.0,12.75
510,ivanteyevka,90,RU,1569884126,93,55.97,37.92,57.2,8.95
511,puerto escondido,40,AR,1569884004,69,-51.62,-69.23,37.4,9.17
512,georgiyevka,100,RU,1569884127,86,52.25,40.45,55.95,19.3
513,ozernovskiy,59,RU,1569884127,73,51.5,156.52,44.07,9.55
514,faya,0,SA,1569884127,34,18.39,42.45,68.0,4.7
515,naukot,0,PK,1569884127,68,26.04,69.12,83.5,12.86
516,chernogorsk,0,RU,1569884128,64,53.83,91.31,35.6,6.71
517,sovetskiy,100,RU,1569884128,92,56.76,48.47,51.1,14.41
518,college,90,US,1569884095,76,64.86,-147.8,51.8,3.36
519,doha,0,QA,1569884129,79,25.29,51.53,87.8,1.12
520,minsk,75,BY,1569883956,100,53.9,27.56,55.4,8.95
521,abu kamal,75,JP,1569884130,88,34.51,131.49,75.2,3.36
522,qaqortoq,93,GL,1569884130,25,60.72,-46.03,53.6,26.4
523,araouane,6,ML,1569884130,9,18.9,-3.53,93.57,10.58
524,skagen,17,SE,1569884131,80,58.6,13.44,41.0,8.05
525,aykhal,75,RU,1569884131,100,65.95,111.51,17.6,4.47
526,bacsay,75,PH,1569884131,88,15.65,120.33,77.0,4.7
527,colac,0,AU,1569884132,79,-38.34,143.59,51.01,4.61
528,fortuna,20,US,1569884132,62,40.6,-124.16,59.0,12.75
529,hofn,1,IS,1569883946,75,64.25,-15.21,25.0,8.32
530,changzhou,63,CN,1569884132,92,31.81,119.97,73.99,11.18
531,kamaishi,0,JP,1569884133,46,39.28,141.86,69.1,2.73
532,chapais,90,CA,1569884133,65,49.78,-74.86,41.0,5.82
533,porto novo,75,PT,1569884122,100,41.15,-8.61,68.0,7.72
534,capela,20,BR,1569884134,83,-9.42,-36.08,75.2,5.82
535,lakatoro,58,VU,1569884134,88,-16.11,167.42,82.4,8.05
536,yumen,65,CN,1569884134,47,40.29,97.04,56.5,6.69
537,cockburn town,0,AU,1569884135,28,-32.08,141.0,59.0,14.99
538,rioja,100,PE,1569884135,98,-6.06,-77.17,52.35,0.6
539,whitehorse,90,CA,1569884136,66,60.72,-135.06,50.0,14.99
540,winthrop,75,US,1569883945,67,42.38,-70.98,57.99,9.17
541,wanning,23,AT,1569883878,71,48.64,13.53,55.0,5.82
